iter	Passed	Remaining
0	141	141123
1	142	70990
2	143	47739
3	145	36135
4	146	29121
5	147	24443
6	148	21062
7	150	18600
8	151	16701
9	153	15155
10	154	13861
11	155	12770
12	155	11833
13	156	11026
14	157	10315
15	157	9709
16	158	9189
17	160	8729
18	160	8290
19	161	7898
20	161	7548
21	162	7230
22	163	6944
23	164	6676
24	164	6431
25	165	6210
26	167	6053
27	168	5860
28	169	5674
29	170	5504
30	170	5342
31	171	5191
32	172	5051
33	173	4919
34	174	4798
35	174	4678
36	175	4565
37	176	4457
38	176	4353
39	177	4256
40	177	4161
41	178	4071
42	179	3988
43	180	3914
44	181	3846
45	182	3782
46	183	3711
47	183	3641
48	184	3575
49	184	3510
50	185	3447
51	185	3387
52	186	3329
53	186	3275
54	187	3224
55	188	3175
56	189	3127
57	189	3080
58	190	3037
59	191	2998
60	192	2955
61	192	2913
62	193	2871
63	193	2831
64	194	2793
65	194	2759
66	195	2728
67	196	2694
68	197	2662
69	197	2628
70	198	2595
71	198	2563
72	199	2532
73	199	2502
74	200	2473
75	201	2445
76	201	2418
77	202	2392
78	203	2368
79	204	2346
80	204	2323
81	205	2300
82	205	2273
83	206	2252
84	207	2229
85	207	2209
86	208	2187
87	209	2169
88	209	2149
89	210	2129
90	211	2109
91	211	2090
92	212	2072
93	213	2054
94	213	2037
95	214	2021
96	215	2004
97	215	1986
98	216	1970
99	217	1955
100	218	1943
101	219	1929
102	219	1914
103	220	1899
104	221	1883
105	221	1868
106	222	1854
107	222	1840
108	223	1825
109	224	1812
110	224	1799
111	225	1787
112	226	1778
113	227	1765
114	227	1753
115	228	1741
116	229	1728
117	229	1716
118	230	1704
119	230	1692
120	231	1681
121	231	1669
122	232	1659
123	233	1651
124	234	1640
125	234	1629
126	235	1618
127	235	1607
128	236	1597
129	237	1587
130	237	1576
131	238	1567
132	238	1557
133	239	1549
134	240	1543
135	241	1535
136	242	1525
137	242	1516
138	243	1507
139	244	1499
140	244	1490
141	244	1480
142	245	1471
143	246	1463
144	246	1455
145	247	1448
146	248	1443
147	249	1435
148	250	1427
149	250	1420
150	251	1412
151	251	1404
152	252	1396
153	252	1389
154	253	1382
155	254	1375
156	254	1368
157	255	1361
158	256	1355
159	256	1348
160	257	1340
161	257	1333
162	258	1327
163	259	1320
164	259	1313
165	260	1306
166	260	1300
167	261	1294
168	262	1288
169	262	1283
170	263	1278
171	264	1273
172	265	1267
173	265	1262
174	266	1256
175	267	1250
176	267	1244
177	268	1239
178	269	1233
179	269	1229
180	270	1225
181	271	1220
182	272	1214
183	272	1209
184	273	1203
185	273	1198
186	274	1192
187	274	1187
188	275	1182
189	276	1177
190	276	1172
191	277	1168
192	278	1166
193	279	1161
194	280	1156
195	280	1151
196	281	1146
197	281	1141
198	282	1136
199	282	1131
200	283	1127
201	284	1122
202	284	1118
203	285	1115
204	286	1111
205	287	1107
206	287	1102
207	288	1098
208	289	1094
209	289	1089
210	290	1085
211	291	1082
212	292	1079
213	293	1076
214	293	1072
215	294	1070
216	295	1066
217	295	1061
218	296	1057
219	297	1053
220	297	1049
221	298	1045
222	299	1041
223	299	1038
224	300	1034
225	300	1030
226	301	1026
227	302	1022
228	302	1019
229	303	1016
230	304	1012
231	304	1008
232	305	1005
233	306	1001
234	306	998
235	307	996
236	308	993
237	309	990
238	309	986
239	310	982
240	310	979
241	311	975
242	311	971
243	312	968
244	313	965
245	313	961
246	314	959
247	315	956
248	316	953
249	316	950
250	317	947
251	317	943
252	318	940
253	318	936
254	319	933
255	320	930
256	320	927
257	321	924
258	322	922
259	323	920
260	323	917
261	324	914
262	325	911
263	325	908
264	326	905
265	326	902
266	327	899
267	328	896
268	328	894
269	329	892
270	330	889
271	331	886
272	331	883
273	332	880
274	333	878
275	333	875
276	334	872
277	334	869
278	335	867
279	336	865
280	337	862
281	337	860
282	338	857
283	339	855
284	339	852
285	340	850
286	341	847
287	341	844
288	342	842
289	343	839
290	343	837
291	344	834
292	345	833
293	345	830
294	346	828
295	347	825
296	347	823
297	348	821
298	349	818
299	349	816
300	350	813
301	351	811
302	352	810
303	352	807
304	353	805
305	353	802
306	354	800
307	355	797
308	355	795
309	356	792
310	356	790
311	357	787
312	358	786
313	358	783
